SamplePopID,PopName,Average SNP count,medianFST,medianFSTregion,MedianFSTAdjustedNeighbors,numberofNeighborswithin1000km,harmonicMean,harmonicMean_5perc,harmonicMean_95perc
240,Mordovian_Erzya,589216.5,0.04339805,0.0178936,0.008895889,27,6707.9353,4621.0702,1.29E+04
241,Mordovian_Moksha,589408,0.04401065,0.0172765,0.007281599,28,4644.618,2799.4085,1.00E+04
242,Moroccan,589871.5,0.05079905,0.0909446,0.017181725,7,22836.9026,12927.6795,5.42E+04
243,Mozabite,596518,0.06027605,0.105287,0.022235984,9,1647.3313,1401.3552,1.99E+03
244,Murut,590482.5,0.122294,0.0277118,0.028529608,2,971.0649,776.1333,1.30E+03
245,Mussau,590654,0.1333955,0.0423997,0.042245672,24,953.3025,556.0404,1.79E+03
246,Nakanai_Bileki,590400,0.1457245,0.0499421,0.051936738,28,1092.2995,890.0243,1.32E+03
247,Nakanai_Loso,590589,0.17091,0.0655344,0.06664122,28,462.1535,333.6717,6.76E+02
248,Nama,594782,0.1413095,0.054807,0.024070574,19,3827.5273,2840.1503,5.10E+03
249,Nanai,588816,0.1093515,0.100905,NA,0,2447.922,1797.9585,3.34E+03
250,Naro,596237,0.204072,0.09116045,0.024208659,20,3086.5447,1809.404,7.93E+03
251,Nasioi,596451.5,0.158419,0.0605208,0.057524652,30,1615.9224,1241.6636,2.32E+03
252,Naxi,596424.5,0.100692,0.0910228,0.011499536,7,5460.2225,2813.9333,1.67E+04
253,Nganasan,596192.5,0.1257665,0.114375,NA,0,777.6901,583.8133,1.06E+03
254,Nganasan_UstAvam,589845,0.124501,0.112687,NA,0,717.8437,488.3477,1.37E+03
255,Nganasan_Volochanka,589624,0.130123,0.118479,NA,0,795.5738,535.0525,1.22E+03
256,Nggela,596240.5,0.1159295,0.0385956,0.017086943,10,3158.2553,1783.2636,7.13E+03
257,Nivh,588969.5,0.1257125,0.116344,NA,0,916.1835,683.205,1.41E+03
258,Nogai,595964,0.0287784,0.013002,0.009873605,39,15261.2938,7626.5162,5.63E+04
259,Nogai_Astrakhan,588530.5,0.0367558,0.032702,0.033281446,40,5665.2569,3447.827,1.18E+04
260,Nogai_Stavropol,588863.5,0.0301038,0.0268065,0.025892398,40,36714.259,14276.3189,4.58E+05
261,Norwegian,595709,0.05047865,0.0175769,0.002417679,8,16228.406,8136.0862,5.37E+04
262,Notsi,590605,0.134464,0.0288445,0.029679111,28,2978.3981,1994.9796,5.14E+03
263,Ojibwa,595923,0.07603855,0.0503403,NA,1,1988.3028,1616.2838,2.38E+03
264,Onge,595487,0.1715715,0.1580755,NA,0,286.1292,210.5241,4.03E+02
265,Ontong_Java,596135.5,0.1211985,0.0722145,0.078540739,27,810.0022,477.546,1.47E+03
266,Orcadian,595692,0.05193045,0.0183344,0.003252887,13,4277.9648,2399.5437,8.51E+03
