SamplePopID,populationName,samplesize,geographicRegion,dataSet.of.origin,lat,lon,location,languoidName,glottocode,curation_notes,Exclude
494,San,7,AFRICA,HGDP-CEPH,-21,20,Namibia,Ju'hoan,juho1239,ok,ok
501,Assamese,25,CENTRAL_SOUTH_ASIA,AsianIndian,26,93,India,Assamese,assa1263,automatically assigned by Robert F,ok
502,Bengali,27,CENTRAL_SOUTH_ASIA,AsianIndian,23.2577,87.6667,India,Bengali,beng1280,automatically assigned by Robert F,ok
504,Gujarati,252,CENTRAL_SOUTH_ASIA,AsianIndian,23,72,India,Gujarati,guja1252,automatically assigned by Robert F,ok
505,Hindi,28,CENTRAL_SOUTH_ASIA,AsianIndian,26.9809,78.3936,India,Hindi,hind1269,automatically assigned by Robert F,ok
506,Kannada,24,CENTRAL_SOUTH_ASIA,AsianIndian,15,75,India,Kannada,kann1255,automatically assigned by Robert F,ok
507,Kashmiri,25,CENTRAL_SOUTH_ASIA,AsianIndian,32.44,74.54,India,Kashmiri,kash1277,automatically assigned by Robert F,ok
508,Konkani,42,CENTRAL_SOUTH_ASIA,AsianIndian,14.5708,75.131,India,Konkani,konk1267,automatically assigned by Robert F,ok
509,Malayalam,25,CENTRAL_SOUTH_ASIA,AsianIndian,10,76.25,India,Malayalam,mala1464,automatically assigned by Robert F,ok
510,Marathi,26,CENTRAL_SOUTH_ASIA,AsianIndian,19.8168,75.9423,India,Marathi,mara1378,automatically assigned by Robert F,ok
511,Marwari,25,CENTRAL_SOUTH_ASIA,AsianIndian,26.6717,74.264,India,Marwari (India),marw1260,correct by Harald,ok
512,Oriya,26,CENTRAL_SOUTH_ASIA,AsianIndian,20,85,India,Oriya,oriy1255,automatically assigned by Robert F,ok
513,Parsi,25,CENTRAL_SOUTH_ASIA,AsianIndian,19,72.8,India,Gujarati,guja1252,correct by Harald,ok
514,Punjabi,27,CENTRAL_SOUTH_ASIA,AsianIndian,30.4716,75.2907,India,Panjabi,panj1256,automatically assigned by Robert F,ok
515,Tamil,29,CENTRAL_SOUTH_ASIA,AsianIndian,11.1017,77.9483,India,Tamil,tami1289,automatically assigned by Robert F,ok
516,Telugu,27,CENTRAL_SOUTH_ASIA,AsianIndian,15.9258,79.6296,India,Telugu,telu1262,automatically assigned by Robert F,ok
601,Han,34,EAST_ASIA,HGDP-CEPH,32.2657,114,China,Mandarin Chinese,mand1415,correct by Harald,ok
602,Han-NChina,10,EAST_ASIA,HGDP-CEPH,32.2657,114,China,Mandarin Chinese,mand1415,ok,ok
606,Dai,10,EAST_ASIA,HGDP-CEPH,21,100,China,L•À_,luuu1242,correct by Harald - checked by Chiara,ok
607,Daur,10,EAST_ASIA,HGDP-CEPH,48.4975,124,China,Dagur,daur1238,automatically assigned by Robert F,ok
608,Hezhen,9,EAST_ASIA,HGDP-CEPH,47.4976,133.5,China,Kilen,kile1243,correct by Harald,ok
611,Lahu,10,EAST_ASIA,HGDP-CEPH,22,100,China,Lahu,lahu1253,automatically assigned by Robert F,ok
